sa2_name_2016, SumZScore, M0_area_code, M0_area_name, M0_dwel_no_car_3_percent_6_11_6_11, M1_area_code, M0_child_jobfm_3_percent_6_11_6_11, M1_area_name, M2_area_code, M2_area_name, M0_ovrwght_p_me_2_rate_3_11_7_13, M0_obese_p_me_2_rate_3_11_7_13, M3_area_code, M0_k10_me_2_rate_3_11_7_13, M3_area_name
"Abbotsford",1.8544253643100017,206071139,"Abbotsford",16.7028199566161,206071139,5.2995391705069075,"Abbotsford",206071139,"Abbotsford",33.55966579133644,15.668904599029807,206071139,10.5881378709381,"Abbotsford"
"Albert Park",1.6937984580999979,206051128,"Albert Park",14.4229203972001,206051128,5.60190703218117,"Albert Park",206051128,"Albert Park",34.9799413597399,13.723060757212098,206051128,8.20273098822157,"Albert Park"
"Alphington - Fairfield",-1.6917603478699978,206021110,"Alphington - Fairfield",11.324200913242,206021110,3.24207492795389,"Alphington - Fairfield",206021110,"Alphington - Fairfield",34.3573724906719,20.12172773856378,206021110,10.756217400710197,"Alphington - Fairfield"
"Armadale",-1.60757399193,206061135,"Armadale",14.900314795383,206061135,5.353901996370237,"Armadale",206061135,"Armadale",34.68678292705193,13.954290626708907,206061135,10.2893418552183,"Armadale"
"Ascot Vale",-1.22096748605,206031113,"Ascot Vale",15.1153991676126,206031113,15.872302158273406,"Ascot Vale",206031113,"Ascot Vale",34.0975741805026,25.811299986882414,206031113,11.205463436893,"Ascot Vale"
"Brunswick",0.14448226636000025,206011105,"Brunswick",21.5806451612903,206011105,7.97494780793319,"Brunswick",206011105,"Brunswick",32.48698040375614,18.5697782185121,206011105,9.813922251709286,"Brunswick"
"Brunswick East",-0.722364525054,206011106,"Brunswick East",18.404907975460087,206011106,6.498951781970655,"Brunswick East",206011106,"Brunswick East",32.48698040375614,18.5697782185121,206011106,9.813922251709286,"Brunswick East"
"Brunswick West",-1.6449681495600001,206011107,"Brunswick West",18.42531008448677,206011107,11.704063068526398,"Brunswick West",206011107,"Brunswick West",34.95863276939316,23.620815983808114,206011107,10.7556089634061,"Brunswick West"
"Carlton",4.736148522380002,206041117,"Carlton",57.849293563579295,206041117,28.62149532710282,"Carlton",206041117,"Carlton",31.6719403965862,14.163590659921807,206041117,16.1992933368284,"Carlton"
"Carlton North - Princes Hill",-0.14231286452100028,206071140,"Carlton North - Princes Hill",19.554667427918933,206071140,6.84769775678867,"Carlton North - Princes Hill",206071140,"Carlton North - Princes Hill",33.94836705888256,14.639427386678399,206071140,9.70382429608877,"Carlton North - Princes Hill"
"Coburg",-1.3102100436000017,206011108,"Coburg",13.8517218688309,206011108,11.068799187611098,"Coburg",206011108,"Coburg",34.10165508492913,26.071015739718714,206011108,12.113617108676799,"Coburg"
"Collingwood",2.4985109714,206071141,"Collingwood",29.34109938114307,206071141,39.1184573002755,"Collingwood",206071141,"Collingwood",31.3000227586497,15.4216624481629,206071141,12.500050873747803,"Collingwood"
"East Melbourne",3.0889539602,206041119,"East Melbourne",20.310421286030987,206041119,6.912442396313367,"East Melbourne",206041119,"East Melbourne",34.3488425383701,13.865437488669514,206041119,8.205834818617017,"East Melbourne"
"Elwood",-0.706121725748,206051129,"Elwood",13.007529898124922,206051129,5.5122828040743,"Elwood",206051129,"Elwood",33.1089630699683,14.209107910542906,206051129,10.952622529386106,"Elwood"
"Essendon - Aberfeldie",-2.4463045468200035,206031114,"Essendon - Aberfeldie",11.005815205686014,206031114,4.079601990049755,"Essendon - Aberfeldie",206031114,"Essendon - Aberfeldie",35.93331392556884,21.590550014793,206031114,10.483020324095099,"Essendon - Aberfeldie"
"Fitzroy",2.6622316386700002,206071142,"Fitzroy",28.474042999475586,206071142,36.42857142857145,"Fitzroy",206071142,"Fitzroy",31.3000227586497,15.4216624481629,206071142,12.500050873747803,"Fitzroy"
"Fitzroy North",0.548223197592,206071143,"Fitzroy North",20.025031289111354,206071143,7.60318609703114,"Fitzroy North",206071143,"Fitzroy North",33.94836705888256,14.639427386678399,206071143,9.70382429608877,"Fitzroy North"
"Flemington",0.517616407377,206031115,"Flemington",26.984964389343187,206031115,28.550932568149186,"Flemington",206031115,"Flemington",32.6129149692689,17.403045393835686,206031115,14.079555000727803,"Flemington"
"Melbourne",9.848313222259998,206041122,"Melbourne",68.4514721919302,206041122,17.415730337078678,"Melbourne",206041122,"Melbourne",30.3968125706155,11.771353576230398,206041122,13.8781319450257,"Melbourne"
"Moonee Ponds",-1.04722353882,206031116,"Moonee Ponds",14.524397190051298,206031116,4.4859813084112075,"Moonee Ponds",206031116,"Moonee Ponds",35.93331392556884,21.590550014793,206031116,10.483020324095099,"Moonee Ponds"
"North Melbourne",3.5927925243999987,206041123,"North Melbourne",31.592039800994954,206041123,23.082595870206486,"North Melbourne",206041123,"North Melbourne",31.507527817809287,14.4589504454392,206041123,13.009313773673998,"North Melbourne"
"Northcote",-0.7235792160790018,206021111,"Northcote",16.1831218974076,206021111,6.37883008356546,"Northcote",206021111,"Northcote",34.3573724906719,20.12172773856378,206021111,10.756217400710197,"Northcote"
"Parkville",4.253693685430014,206041124,"Parkville",22.150676110753405,206041124,16.875,"Parkville",206041124,"Parkville",35.45054261244627,16.08530798672217,206041124,9.301062293122646,"Parkville"
"Pascoe Vale South",-2.15367095149,206011109,"Pascoe Vale South",8.37773830669035,206011109,6.8121341138903695,"Pascoe Vale South",206011109,"Pascoe Vale South",34.95863276939316,23.620815983808114,206011109,10.7556089634061,"Pascoe Vale South"
"Port Melbourne",1.6176986271899976,206051130,"Port Melbourne",12.0317994190491,206051130,10.0602409638554,"Port Melbourne",206051130,"Port Melbourne",33.83737141991947,16.734002545001886,206051130,8.72526356780816,"Port Melbourne"
"Prahran - Windsor",1.1856231954499978,206061136,"Prahran - Windsor",22.3449131513648,206061136,8.01987224982257,"Prahran - Windsor",206061136,"Prahran - Windsor",32.79983220985094,15.711796510606908,206061136,11.020450944500903,"Prahran - Windsor"
"Richmond (Vic.)",2.20636691498,206071144,"Richmond (Vic.)",21.851623690926687,206071144,16.7782591571485,"Richmond (Vic.)",206071144,"Richmond (Vic.)",33.6012858439028,15.9880701592293,206071144,11.398621194724798,"Richmond (Vic.)"
"South Melbourne",1.7474031110000001,206051132,"South Melbourne",21.4089031665902,206051132,14.662756598240515,"South Melbourne",206051132,"South Melbourne",33.374695945238194,15.7857734906372,206051132,12.072597354865806,"South Melbourne"
"South Yarra - East",5.0057459303,206061137,"South Yarra - East",25.492698142634286,206061137,15.564598168870798,"South Yarra - East",206061137,"South Yarra - East",32.79983220985094,15.711796510606908,206061137,11.020450944500903,"South Yarra - East"
"South Yarra - West",2.52859839741,206041125,"South Yarra - West",20.080468178493,206041125,3.5040431266846377,"South Yarra - West",206041125,"South Yarra - West",34.3488425383701,13.865437488669514,206041125,8.205834818617017,"South Yarra - West"
"Southbank",9.653816322920004,206041126,"Southbank",26.949384404924782,206041126,10.585585585585621,"Southbank",206041126,"Southbank",33.8531573433202,12.2466391322589,206041126,11.138278842966695,"Southbank"
"St Kilda",1.2196882175199963,206051133,"St Kilda",25.6121045392022,206051133,9.038322487346338,"St Kilda",206051133,"St Kilda",34.07366610137027,16.727863353052715,206051133,11.056939452704404,"St Kilda"
"St Kilda East",1.4293395127799966,206051134,"St Kilda East",20.068073519400986,206051134,6.534422403733967,"St Kilda East",206051134,"St Kilda East",34.07366610137027,16.727863353052715,206051134,11.056939452704404,"St Kilda East"
"Thornbury",-2.0048622141399997,206021112,"Thornbury",16.622134720855,206021112,8.300550747442971,"Thornbury",206021112,"Thornbury",33.935302563886296,25.028233781114587,206021112,12.650386218517607,"Thornbury"
"Toorak",-2.1445092440200035,206061138,"Toorak",10.4793147439402,206061138,8.150470219435755,"Toorak",206061138,"Toorak",34.68678292705193,13.954290626708907,206061138,10.2893418552183,"Toorak"
"Yarra - North",-0.28851461947800044,206071145,"Yarra - North",10.310247571294306,206071145,5.23465703971119,"Yarra - North",206071145,"Yarra - North",33.55966579133644,15.668904599029807,206071145,10.5881378709381,"Yarra - North"
